Model,Accuracy,F1 Score,Precision,Recall,ROC,ROC_AUC,cm
"LogisticRegression(class_weight='balanced', max_iter=1000, multi_class='auto')",0.31788079470198677,0.41366223908918404,0.9008264462809917,0.2684729064039409,"(array([0.        , 0.25531915, 1.        ]), array([0.        , 0.26847291, 1.        ]), array([inf,  1.,  0.]))",0.5065768787338853,"[[0.74468085 0.25531915]
 [0.73152709 0.26847291]]"
"RandomForestClassifier(max_depth=4, random_state=3003)",0.31788079470198677,0.41366223908918404,0.9008264462809917,0.2684729064039409,"(array([0.        , 0.25531915, 1.        ]), array([0.        , 0.26847291, 1.        ]), array([inf,  1.,  0.]))",0.5065768787338853,"[[0.74468085 0.25531915]
 [0.73152709 0.26847291]]"
"RandomForestClassifier(max_depth=100, random_state=3003)",0.31788079470198677,0.9389671361502347,0.8968609865470852,0.9852216748768473,"(array([0.       , 0.9787234, 1.       ]), array([0.        , 0.98522167, 1.        ]), array([inf,  1.,  0.]))",0.5032491353107641,"[[0.74468085 0.25531915]
 [0.73152709 0.26847291]]"
"RandomForestClassifier(max_depth=5, random_state=3003)",0.31788079470198677,0.9452852153667055,0.8962472406181016,1.0,"(array([0., 1.]), array([0., 1.]), array([inf,  1.]))",0.5,"[[0.74468085 0.25531915]
 [0.73152709 0.26847291]]"
KNeighborsClassifier(),0.8741721854304636,0.9327036599763873,0.8956916099773242,0.9729064039408867,"(array([0.       , 0.9787234, 1.       ]), array([0.       , 0.9729064, 1.       ]), array([inf,  1.,  0.]))",0.4970914998427838,"[[0.0212766 0.9787234]
 [0.0270936 0.9729064]]"
KNeighborsClassifier(),0.8741721854304636,0.9327036599763873,0.8956916099773242,0.9729064039408867,"(array([0.       , 0.9787234, 1.       ]), array([0.       , 0.9729064, 1.       ]), array([inf,  1.,  0.]))",0.4970914998427838,"[[0.0212766 0.9787234]
 [0.0270936 0.9729064]]"
KNeighborsClassifier(),0.8741721854304636,0.9327036599763873,0.8956916099773242,0.9729064039408867,"(array([0.       , 0.9787234, 1.       ]), array([0.       , 0.9729064, 1.       ]), array([inf,  1.,  0.]))",0.4970914998427838,"[[0.0212766 0.9787234]
 [0.0270936 0.9729064]]"
KNeighborsClassifier()5,0.8741721854304636,0.9327036599763873,0.8956916099773242,0.9729064039408867,"(array([0.       , 0.9787234, 1.       ]), array([0.       , 0.9729064, 1.       ]), array([inf,  1.,  0.]))",0.4970914998427838,"[[0.0212766 0.9787234]
 [0.0270936 0.9729064]]"
KNeighborsClassifier() n=5,0.8741721854304636,0.9327036599763873,0.8956916099773242,0.9729064039408867,"(array([0.       , 0.9787234, 1.       ]), array([0.       , 0.9729064, 1.       ]), array([inf,  1.,  0.]))",0.4970914998427838,"[[0.0212766 0.9787234]
 [0.0270936 0.9729064]]"
KNeighborsClassifier(n_neighbors=1) n=1,0.8300220750551877,0.9066666666666666,0.8926014319809069,0.9211822660098522,"(array([0.        , 0.95744681, 1.        ]), array([0.        , 0.92118227, 1.        ]), array([inf,  1.,  0.]))",0.4818677287496069,"[[0.04255319 0.95744681]
 [0.07881773 0.92118227]]"
KNeighborsClassifier(n_neighbors=2) n=2,0.7417218543046358,0.8490322580645161,0.8915989159891599,0.8103448275862069,"(array([0.        , 0.85106383, 1.        ]), array([0.        , 0.81034483, 1.        ]), array([inf,  1.,  0.]))",0.47964049889948634,"[[0.14893617 0.85106383]
 [0.18965517 0.81034483]]"
KNeighborsClassifier(n_neighbors=3) n=3,0.8366445916114791,0.9106280193236715,0.8933649289099526,0.9285714285714286,"(array([0.        , 0.95744681, 1.        ]), array([0.        , 0.92857143, 1.        ]), array([inf,  1.,  0.]))",0.48556231003039513,"[[0.04255319 0.95744681]
 [0.07142857 0.92857143]]"
KNeighborsClassifier(n_neighbors=4) n=4,0.8233995584988962,0.902676399026764,0.8918269230769231,0.9137931034482759,"(array([0.        , 0.95744681, 1.        ]), array([0.       , 0.9137931, 1.       ]), array([inf,  1.,  0.]))",0.4781731474688188,"[[0.04255319 0.95744681]
 [0.0862069  0.9137931 ]]"
KNeighborsClassifier() n=5,0.8741721854304636,0.9327036599763873,0.8956916099773242,0.9729064039408867,"(array([0.       , 0.9787234, 1.       ]), array([0.       , 0.9729064, 1.       ]), array([inf,  1.,  0.]))",0.4970914998427838,"[[0.0212766 0.9787234]
 [0.0270936 0.9729064]]"
KNeighborsClassifier(n_neighbors=6) n=6,0.8741721854304636,0.9327036599763873,0.8956916099773242,0.9729064039408867,"(array([0.       , 0.9787234, 1.       ]), array([0.       , 0.9729064, 1.       ]), array([inf,  1.,  0.]))",0.4970914998427838,"[[0.0212766 0.9787234]
 [0.0270936 0.9729064]]"
KNeighborsClassifier(n_neighbors=7) n=7,0.8962472406181016,0.9452852153667055,0.8962472406181016,1.0,"(array([0., 1.]), array([0., 1.]), array([inf,  1.]))",0.5,"[[0. 1.]
 [0. 1.]]"
KNeighborsClassifier(n_neighbors=8) n=8,0.8807947019867549,0.9366197183098591,0.8946188340807175,0.9827586206896551,"(array([0., 1., 1.]), array([0.        , 0.98275862, 1.        ]), array([inf,  1.,  0.]))",0.49137931034482757,"[[0.         1.        ]
 [0.01724138 0.98275862]]"
